Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Mese,Costo Totale
FOOD,PANE,FOO.PAN.00008,PANINI FARINA BIANCA GR 40,KG,GR,1000,4.5067,1,4.5067,10_Ottobre,4.51
FOOD,PANE,FOO.PAN.00009,PANINI INTEGRALI GR 40,KG,GR,1000,4.5067,1,4.5067,10_Ottobre,4.51
FOOD,SALUMI,FOO.SAL.00001,MORTADELLA IGP,KG,KG,1,6.7412,19.6,132.1285,10_Ottobre,132.13
FOOD,SALUMI,FOO.SAL.00003,SALAME MILANO FIORUCCI,KG,KG,1,11.6723,5.1,59.5287,10_Ottobre,59.52873
FOOD,SALUMI,FOO.SAL.00004,PETTO DI TACCHINO FERRARINI,KG,KG,1,13.9696,23.7,340.3491,10_Ottobre,331.08
FOOD,SALUMI,FOO.SAL.00005,PANCETTA / BACON,KG,KG,1,10.8796,38.308,419.9638,10_Ottobre,416.78
FOOD,SALUMI,FOO.SAL.00006,PROSCIUTTO COTTO FERRARINI,KG,KG,1,7.7524,34.01,263.6597,10_Ottobre,263.659124
FOOD,SCATOLAM,FOO.SCA.00001,FAGIOLI HEINZ 415GRX24PZ,PZ,PZ,1,2.9195,111,324.0656,10_Ottobre,324.06
FOOD,SCATOLAM,FOO.SCA.00020,"FAGIOLI HEINZ 2,60KG",PZ,PZ,1,8.27,4,33.08,10_Ottobre,33.08
FOOD,SEMILDOL,FOO.SDO.00004,TORTA ARTIGIANALE CAPRESE 1KG,PZ,PZ,1,15.0618,7,105.4328,10_Ottobre,105.43
FOOD,SEMILDOL,FOO.SDO.00005,TORTA ARTIGIANALE CROSTATA 1KG,PZ,PZ,1,14.9028,11,163.931,10_Ottobre,163.9308
FOOD,SEMILDOL,FOO.SDO.00006,TORTA ARTIGIANALE ALLE CAROTE 1 KG,PZ,PZ,1,14.8271,8,118.6168,10_Ottobre,118.62
FOOD,SEMILDOL,FOO.SDO.00007,PLUMCAKE ARTIGIANALE CACAO 800GR,PZ,PZ,1,10.9522,5,54.7612,10_Ottobre,54.761
FOOD,SEMILDOL,FOO.SDO.00008,PASTIERA NAPOLETANA 100GRX24PZ,PZ,PZ,1,1.1042,170,187.7111,10_Ottobre,187.71
FOOD,SEMILDOL,FOO.SDO.00009,SFOGLIATELLE FROLLE 27GRX7KG,KG,KG,1,6.7571,31.8,214.8764,10_Ottobre,214.87578
FOOD,SEMILDOL,FOO.SDO.00010,SFOGLIATELLE RICCE 27GRX7KG,KG,KG,1,6.7571,25.86,174.7394,10_Ottobre,174.74
FOOD,SEMILDOL,FOO.SDO.00011,SACCOTTINO AL CIOCCOLATO 30GRX150PZ,PZ,PZ,1,0.3513,597,209.7326,10_Ottobre,209.73
FOOD,SEMILDOL,FOO.SDO.00012,GIRELLA CREMA E UVETTA 30GRX150PZ,PZ,PZ,1,0.3513,825,289.8371,10_Ottobre,289.82
FOOD,SEMILDOL,FOO.SDO.00013,CORNETTO VUOTO 30GRX150PZ,PZ,PZ,1,0.3513,1052,369.5876,10_Ottobre,369.57
FOOD,SEMILDOL,FOO.SDO.00014,"CIAMBELLA MINI 25GRX2,5KG",KG,KG,1,15.04,16.57,249.2128,10_Ottobre,249.21
FOOD,SEMILDOL,FOO.SDO.00015,"KRAPFEN AL CIOCCOLATO 20GRX2,5KG",KG,KG,1,16.24,17.5,284.2,10_Ottobre,284.2
FOOD,SEMILDOL,FOO.SDO.00016,MUFFIN MINI MELA CANNELLA 25GRX70PZ,PZ,PZ,1,0.4629,176,81.4672,10_Ottobre,81.47
FOOD,SEMILDOL,FOO.SDO.00017,MUFFIN MINI CACAO 27GRX70PZ,PZ,PZ,1,0.4629,221,102.2957,10_Ottobre,102.3
FOOD,SEMILDOL,FOO.SDO.00018,TRECCIA MINI NOCI PECAN 50GRX80PZ,PZ,PZ,1,0.5021,377,189.3054,10_Ottobre,189.29
FOOD,SEMILDOL,FOO.SDO.00019,CORNETTO PRINCIPINO CIOCCOLATO 35GRX85PZ,PZ,PZ,1,0.3271,595,194.6123,10_Ottobre,194.62
FOOD,SEMILDOL,FOO.SDO.00020,CORNETTO PRINCIPINO CREMA 35GRX85PZ,PZ,PZ,1,0.3271,685,224.0495,10_Ottobre,224.06
FOOD,SEMILDOL,FOO.SDO.00021,CORNETTO PRINCIPINO MARMELLATA 35GRX85PZ,PZ,PZ,1,0.3271,720,235.5017,10_Ottobre,235.51
FOOD,SEMILDOL,FOO.SDO.00022,CORNETTO VEG PRINCIPINO CEREAL 35GRX100P,PZ,PZ,1,0.345,20,6.9,10_Ottobre,6.9
FOOD,SEMILDOL,FOO.SDO.00023,CORNETTO GF CACAO NOCCIOLE 100GRX12PZ,PZ,PZ,1,2.8662,9,25.7961,10_Ottobre,25.8
FOOD,SEMILDOL,FOO.SDO.00024,CORNETTO GF ALBICOCCA 100GRX12PZ,PZ,PZ,1,2.9,8,23.2,10_Ottobre,23.2
FOOD,SEMILDOL,FOO.SDO.00028,PLUMCAKE ARTIGIANALE AL LIMONE 800 GR,PZ,PZ,1,11.6737,19,221.7996,10_Ottobre,221.8
FOOD,SEMILDOL,FOO.SDO.00029,TORTA  ARTIGIANALE ALLE MELE 1 KG,PZ,PZ,1,15.0679,12,180.8147,10_Ottobre,180.81
FOOD,SEMILDOL,FOO.SDO.00031,CONFETTURA CILIEGIA 900GRX6PZ,PZ,PZ,1,3.1552,2,6.3104,10_Ottobre,6.31
FOOD,SEMILDOL,FOO.SDO.00032,CONFETTURA FRAGOLA 900GRX6PZ,PZ,PZ,1,6.0311,3,18.0933,10_Ottobre,18.09
FOOD,SEMILDOL,FOO.SDO.00033,CONFETTURA ALBICOCCA 900GRX6PZ,PZ,PZ,1,6.95,1,6.95,10_Ottobre,6.95
FOOD,SEMILDOL,FOO.SDO.00034,CONFETTURA PESCA 900GRX6PZ,PZ,PZ,1,4.0981,1,4.0981,10_Ottobre,4.1
FOOD,SEMILDOL,FOO.SDO.00035,MIELE 900GRX6PZ,PZ,PZ,1,10,1,10,10_Ottobre,10
FOOD,SEMILDOL,FOO.SDO.00036,SCIROPPO D'ACERO 900GRX6PZ,PZ,PZ,1,7.5,2,15,10_Ottobre,15
FOOD,SEMILDOL,FOO.SDO.00037,CONFETTURA FRUTTI DI BOSCO 900GRX6PZ,PZ,PZ,1,6.4808,2,12.9616,10_Ottobre,12.96
FOOD,SEMILDOL,FOO.SDO.00042,BISCOTTI GRAN MERENDA 500GR,CF,CF,1,2.3517,2,4.7033,10_Ottobre,4.7
FOOD,SEMILDOL,FOO.SDO.00044,BURRO DI ARACHIDI 800GRX6PZ,PZ,PZ,1,16.2484,1,16.2484,10_Ottobre,16.25
FOOD,SEMILDOL,FOO.SDO.00047,PANCAKE PREPARATO MACCHINA GR 730,PZ,PZ,1,12.5,26,325,10_Ottobre,325
FOOD,SEMILSAL,FOO.SSA.00011,"PANINI ALPE ADRIA MIX 3,5GRX2,7KG",KG,KG,1,9.5185,25.94,246.9103,10_Ottobre,246.91
FOOD,SEMILSAL,FOO.SSA.00012,PATATE SURGELATE LA RISSOLEE GR.700,PZ,PZ,1,2.114,61,128.9563,10_Ottobre,128.954
VARIE,MONOUSO,FOO.MON.00003,KETCHUP BUSTINE,CF,CF,1,10.383,2,20.766,10_Ottobre,20.77
VARIE,MONOUSO,FOO.MON.00006,ACETO DI VINO BIANCO BUSTINE,CF,CF,1,14.9079,1,14.9079,10_Ottobre,14.91
FOOD,SPEZIECO,FOO.SPE.00008,OLIO EXTRA VERGINE BUSTINE,CF,CF,1,16.4537,2,32.9074,10_Ottobre,32.91
FOOD,UOVA,FOO.UOV.00001,UOVA FRESCHE L CAT. A X 180PZ,PZ,PZ,1,0.185,4622,812.3062,10_Ottobre,855.07
FOOD,YOGURT,FOO.YOG.00002,YOGURT BIANCO KG.5,PZ,PZ,1,10.47,15,157.05,10_Ottobre,157.05
VARIE,CARTBUSA,VAR.CAR.00016,BUSTE SHOPPER BIANCHE 400PZ (COLAZIONI),PZ,PZ,1,0.1345,52,6.994,10_Ottobre,6.994
VARIE,CARTBUSA,VAR.CAR.00017,CENTRINI MERLETTATI RETTANG 20X30 250PZ,CF,PZ,250,5.5,1,5.5,10_Ottobre,5.5
VARIE,CARTBUSA,VAR.CAR.00018,SACCHETTI BIANCHI BREAKFAST 17X34 10KG,KG,KG,0,1.4312,1.5,2.1468,10_Ottobre,2.15
VARIE,CARTBUSA,VAR.CAR.00021,CENTRINI MERLETTATI RETTANGO 30X40 250PZ,CF,PZ,250,11,1,11,10_Ottobre,11
VARIE,CARTBUSA,VAR.CAR.00022,CENTRINI MERLETTATI OVALI 30X31 250PZ,CF,PZ,250,12.5,2,25,10_Ottobre,25
VARIE,MONOUSO,VAR.MON.00001,TOVAGLIOLI TNT POKET AZZ40X35(16CFX60PZ),CF,CF,1,5.3125,26,138.125,10_Ottobre,138.13
VARIE,MONOUSO,VAR.MON.00005,TOVAGLIOLO TNT 40X40 (16CFX50PZ),CF,CF,1,3.6749,15,55.1235,10_Ottobre,55.12
VARIE,MONOUSO,VAR.MON.00017,BIS POSATE PLASTICA 1CFX100PZ,CF,CF,1,8.2608,1,8.2608,10_Ottobre,8.26
VARIE,MONOUSO,VAR.MON.00024,SALVALIQUIDI RETTANGOLARI GR750 1CFX50PZ,PZ,PZ,1,0.22,68,14.96,10_Ottobre,14.96
VARIE,MONOUSO,VAR.MON.00029,TOVAGLIE 100X100 BIANCHE 4CFX25PZ,CF,CF,1,11.875,12,142.5,10_Ottobre,142.5
VARIE,MONOUSO,VAR.MON.00031,COPERCHI PER BICCHIERI CAPPUCC. 1CFX30PZ,CF,PZ,30,4.2,1,4.2,10_Ottobre,4.2
VARIE,MONOUSO,VAR.MON.00032,TOVAGLIOLI TNT POKET AZZ40X35(16CFX50PZ),CF,CF,1,4.0476,47,190.2381,10_Ottobre,190.24
VARIE,PROVARIE,VAR.PRO.00001,CARTA PELLICOLA CUKI 300MT X8 ROTOLO,PZ,PZ,1,6.3797,3,19.1391,10_Ottobre,19.14
VARIE,PROVARIE,VAR.PRO.00002,CARTA  ALLUMINIO 330MM X 125MT ROTOLO,PZ,PZ,1,7.606,2,15.212,10_Ottobre,15.21
VARIE,RICAMBI,VAR.RIC.00011,NASTRO TEFLON RICAMBIO MACCHINA,PZ,PZ,1,20.2,1,20.2,10_Ottobre,20.2
BEVERAGE,ACQUA,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1,0.1496,158,23.6368,11_Novembre,23.64
BEVERAGE,ACQUA,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1,0.15,168,25.2,11_Novembre,25.2
BEVERAGE,CAFFETT,BEV.CAF.00003,CAFFE IN GRANI,KG,GR,1000,17,2,34,11_Novembre,34
BEVERAGE,CAFFETT,BEV.CAF.00005,THE TWINNINGS PURE GREEN 1CFX25PZ,CF,PZ,25,2.2606,21,47.4726,11_Novembre,47.47
BEVERAGE,CAFFETT,BEV.CAF.00006,THE TWINNINGS EARL GREY 1CFX25PZ,CF,PZ,25,1.905,1,1.905,11_Novembre,1.91
BEVERAGE,CAFFETT,BEV.CAF.00007,THE TWINNINGS FRUTTI ROSSI 1CFX25PZ,CF,PZ,25,1.9015,1,1.9015,11_Novembre,1.9
BEVERAGE,CAFFETT,BEV.CAF.00009,DIETOR,CF,CF,1,2.4505,1,2.4505,11_Novembre,2.45
BEVERAGE,CAFFETT,BEV.CAF.00010,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25,CF,PZ,25,3.2405,1,3.2405,11_Novembre,3.24
BEVERAGE,CAFFETT,BEV.CAF.00013,TISANA TWINNINGS FRUTTI ROSSI 1CFX20PZ,CF,PZ,20,3.211,1,3.211,11_Novembre,3.21
BEVERAGE,CAFFETT,BEV.CAF.00004,CAFFE IN GRANI BREAKFAST,KG,GR,100,15,1,15,11_Novembre,15
BEVERAGE,LATTE,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1,1.216,2,2.432,11_Novembre,2.43
BEVERAGE,LATTE,BEV.LAT.00003,LATTE DI SOIA LT.1,LT,LT,1,1.6799,2,3.3598,11_Novembre,3.36
BEVERAGE,LATTE,BEV.LAT.00004,LATTE UHT PARZIALMENTE SCREMATO,LT,LT,1,1.04,2,2.08,11_Novembre,2.08
BEVERAGE,LATTE,BEV.LAT.00005,LATTE UHT SENZA LATTOSIO 1LT,LT,LT,1,1.23,1,1.23,11_Novembre,1.23
BEVERAGE,SOFDRINK,BEV.SOF.00025,SUCCO ARANCIA BIONDA BRICK 1LT,LT,CL,100,1.0489,2,2.0978,11_Novembre,2.1
FOOD,BURR,FOO.BUR.00001,BURRO MONO 1CFX100PZ,CF,PZ,100,10.6585,1,10.6585,11_Novembre,10.66
FOOD,CARNEROS,FOO.CRO.00001,SALSICCIA AIA LUGANEGA,KG,KG,1,7.664,10,76.64,11_Novembre,76.64
FOOD,CEREALI,FOO.CER.00001,CEREALI RISO SOFFIATO CACAO ALPEDI' 1KG,KG,KG,1,3.8395,1,3.8395,11_Novembre,3.84
FOOD,CEREALI,FOO.CER.00002,CEREALI CORN FLAKES ALPEDI' 1KG,KG,KG,1,3.8219,4.5,17.1984,11_Novembre,17.2
FOOD,CEREALI,FOO.CER.00003,CEREALI RISO SOFFIATO ALPEDI' 1KG,KG,KG,1,2.411,1,2.411,11_Novembre,2.41
FOOD,CEREALI,FOO.CER.00004,MUESLI CIOCCOLATO E NOCCIOLE 1KG,KG,KG,1,5.1664,1,5.1664,11_Novembre,5.17
FOOD,CEREALI,FOO.CER.00006,CEREALI ALL BRAN KELLOGG'S GR.500,PZ,PZ,1,3.8617,3,11.5851,11_Novembre,11.59
FOOD,CEREALI,FOO.CER.00007,MUESLI FRUTTI ROSSI 500GR,KG,KG,1,5.4415,1,5.4415,11_Novembre,5.44
FOOD,FORMAGG,FOO.FOR.00001,EMMENTAL ALPEDOR,KG,GR,1000,7.3838,7.5,55.3785,11_Novembre,55.38
FOOD,FORMAGG,FOO.FOR.00003,FORMAGGIO PHILADELPHIA MONO 60PZ,CF,PZ,1,16.7349,3,50.2047,11_Novembre,50.2
FOOD,FRUTTFRE,FOO.FRU.00002,ARANCE,KG,GR,1000,2.3627,12.5,29.5332,11_Novembre,29.53375
FOOD,FRUTTFRE,FOO.FRU.00007,MELE,KG,GR,1000,2.8494,5.338,15.21,11_Novembre,15.2100972
FOOD,MONODOLC,FOO.MDO.00001,BIFETTE MULINO BIANCO GR17X100PZ,PZ,PZ,1,0.1379,30,4.137,11_Novembre,4.14
FOOD,MONODOLC,FOO.MDO.00002,BIFETTE INTEGRALI MULINO BIANCO17GRX100P,PZ,PZ,1,0.1381,50,6.905,11_Novembre,6.91
VARIE,MONOUSO,FOO.MON.00008,ZUCCHERO BUSTINE ERIDIANA 10KG,KG,KG,1,2.7154,1,2.7154,11_Novembre,2.72
VARIE,MONOUSO,FOO.MON.00009,ZUCCHERO DI CANNA BUSTINE 10KG,KG,KG,1,2.9253,1,2.9253,11_Novembre,2.93
VARIE,MONOUSO,FOO.MON.00010,NUTELLA MONO 15GRX120PZ,PZ,PZ,1,0.1801,92,16.5692,11_Novembre,16.5692
FOOD,PANE,FOO.PAN.00002,PANE INTEGRALE IN CASSETTA  GR 400,CF,CF,1,1.18,8,9.44,11_Novembre,9.44
FOOD,PANE,FOO.PAN.00006,"PANE FUNGHETTO 1,1KG X 22 FETTEX4CF",CF,CF,1,10.2,3,30.6,11_Novembre,30.6
FOOD,PANE,FOO.PAN.00012,PANE PELATONE 12X12 33FETTEX6 CF,CF,CF,1,13.6,4,54.4,11_Novembre,54.4
FOOD,PANE,FOO.PAN.00018,KIT COLAZIONE GLUTEEN FREE,PZ,PZ,1,24.15,1,24.15,11_Novembre,24.15
FOOD,PASTICCE,FOO.PPP.00016,MARMELLATA ALBICOCCA,KG,KG,1,5.9879,6,35.9274,11_Novembre,35.93
FOOD,PASTICCE,FOO.PPP.00025,LIEVITO 25 GR,GR,GR,1,0.012,150,1.8,11_Novembre,1.8
FOOD,SALUMI,FOO.SAL.00004,PETTO DI TACCHINO FERRARINI,KG,KG,1,13.9696,1.632,22.7984,11_Novembre,22.7983872
FOOD,SALUMI,FOO.SAL.00005,PANCETTA / BACON,KG,KG,1,10.8796,3.758,40.8855,11_Novembre,40.89
FOOD,SALUMI,FOO.SAL.00006,PROSCIUTTO COTTO FERRARINI,KG,KG,1,7.7524,4,31.0096,11_Novembre,31.01
FOOD,SEMILDOL,FOO.SDO.00001,CORNETTO CEREALI E F. DI BOSCO 75GRX50PZ,PZ,PZ,1,0.612,6,3.672,11_Novembre,3.672
FOOD,SEMILDOL,FOO.SDO.00002,CORNETTO GLASSATO CREMA 90GRX50PZ,PZ,PZ,1,0.618,14,8.652,11_Novembre,8.65
FOOD,SEMILDOL,FOO.SDO.00003,CORNETTO GLASSATO CIOCCOLATO 90GRX50PZ,PZ,PZ,1,0.666,58,38.628,11_Novembre,38.63
FOOD,SEMILDOL,FOO.SDO.00004,TORTA ARTIGIANALE CAPRESE 1KG,PZ,PZ,1,15.0618,3,45.1854,11_Novembre,45.19
FOOD,SEMILDOL,FOO.SDO.00005,TORTA ARTIGIANALE CROSTATA 1KG,PZ,PZ,1,14.9028,5,74.514,11_Novembre,74.51
FOOD,SEMILDOL,FOO.SDO.00006,TORTA ARTIGIANALE ALLE CAROTE 1 KG,PZ,PZ,1,14.8271,12,177.9252,11_Novembre,177.93
FOOD,SEMILDOL,FOO.SDO.00007,PLUMCAKE ARTIGIANALE CACAO 800GR,PZ,PZ,1,10.9522,2,21.9044,11_Novembre,21.9
FOOD,SEMILDOL,FOO.SDO.00008,PASTIERA NAPOLETANA 100GRX24PZ,PZ,PZ,1,1.1042,18,19.8756,11_Novembre,19.8756
FOOD,SEMILDOL,FOO.SDO.00015,"KRAPFEN AL CIOCCOLATO 20GRX2,5KG",KG,KG,1,16.24,1,16.24,11_Novembre,16.24
FOOD,SEMILDOL,FOO.SDO.00018,TRECCIA MINI NOCI PECAN 50GRX80PZ,PZ,PZ,1,0.5021,29,14.5609,11_Novembre,14.56
FOOD,SEMILDOL,FOO.SDO.00021,CORNETTO PRINCIPINO MARMELLATA 35GRX85PZ,PZ,PZ,1,0.3271,50,16.355,11_Novembre,16.36
FOOD,SEMILDOL,FOO.SDO.00028,PLUMCAKE ARTIGIANALE AL LIMONE 800 GR,PZ,PZ,1,11.6737,3,35.0211,11_Novembre,35.0211
FOOD,SEMILDOL,FOO.SDO.00029,TORTA  ARTIGIANALE ALLE MELE 1 KG,PZ,PZ,1,15.0679,5,75.3395,11_Novembre,75.34
FOOD,SEMILDOL,FOO.SDO.00049,CONCHIGLIA PANNA LATTE GR 90 X PZ 60,PZ,PZ,1,0.6417,6,3.8502,11_Novembre,3.85
FOOD,SEMILDOL,FOO.SDO.00050,CORNETTO GLASSATO MARMELLATA GR 90XPZ50,PZ,PZ,1,0.618,4,2.472,11_Novembre,2.47
FOOD,SEMILSAL,FOO.SSA.00012,PATATE SURGELATE LA RISSOLEE GR.700,PZ,PZ,1,2.114,1,2.114,11_Novembre,2.11
FOOD,UOVA,FOO.UOV.00001,UOVA FRESCHE L CAT. A X 180PZ,PZ,PZ,1,0.185,140,25.8983,11_Novembre,25.9
FOOD,YOGURT,FOO.YOG.0003,YOGURT BIANCO 250 GR,PZ,PZ,1,1.65,15,24.75,11_Novembre,24.75
VARIE,MONOUSO,VAR.MON.00043,COPERCHI PER INSALATIERA 1200ML,PZ,PZ,1,0.11,57,6.27,11_Novembre,6.27
BEVERAGE,ACQUA,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1,0.1496,12,1.7805,08_Agosto,1.7952
BEVERAGE,ACQUA,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1,0.15,21,3.15,08_Agosto,3.15
BEVERAGE,CAFFETT,BEV.CAF.00004,CAMOMILLA 1CF X 20 PZ,CF,PZ,20,1.2891,2,2.5146,08_Agosto,2.58
BEVERAGE,CAFFETT,BEV.CAF.00005,THE TWINNINGS PURE GREEN 1CFX25PZ,CF,PZ,25,2.2606,5,12.8605,08_Agosto,11.3
BEVERAGE,CAFFETT,BEV.CAF.00006,THE TWINNINGS EARL GREY 1CFX25PZ,CF,PZ,25,1.905,7,12.6105,08_Agosto,13.34
BEVERAGE,CAFFETT,BEV.CAF.00007,THE TWINNINGS FRUTTI ROSSI 1CFX25PZ,CF,PZ,25,1.9015,2,5.1082,08_Agosto,3.8
BEVERAGE,CAFFETT,BEV.CAF.00009,DIETOR,CF,CF,1,2.4505,15,36.5934,08_Agosto,36.76
BEVERAGE,CAFFETT,BEV.CAF.00010,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25,CF,PZ,25,3.2405,10,31.294,08_Agosto,32.41
BEVERAGE,CAFFETT,BEV.CAF.00013,TISANA TWINNINGS FRUTTI ROSSI 1CFX20PZ,CF,PZ,20,3.211,5,16.055,08_Agosto,16.06
BEVERAGE,CAFFETT,BEV.CAF.00025,ORZO SOLUBILE 250GR X 20,PZ,PZ,1,24,2,48,08_Agosto,48
BEVERAGE,CAFFETT,BEV.CAF.00028,LATTE SOLUBILE 500GR x 20 pz,PZ,PZ,1,5.7915,42,225.8256,08_Agosto,243.24
BEVERAGE,CAFFETT,BEV.CAF.00004,CAFFE IN GRANI BREAKFAST,KG,GR,100,15,45,675,08_Agosto,675
BEVERAGE,LATTE,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1,1.216,105,127.6709,08_Agosto,127.68
BEVERAGE,LATTE,BEV.LAT.00002,LATTE DI RISO LT.1,LT,LT,1,1.3208,5,7.9513,08_Agosto,6.6
BEVERAGE,LATTE,BEV.LAT.00003,LATTE DI SOIA LT.1,LT,LT,1,1.6799,11,18.1874,08_Agosto,18.48
BEVERAGE,LATTE,BEV.LAT.00004,LATTE UHT PARZIALMENTE SCREMATO,LT,LT,1,1.04,36,37.4376,08_Agosto,37.44
BEVERAGE,LATTE,BEV.LAT.00005,LATTE UHT SENZA LATTOSIO 1LT,LT,LT,1,1.23,10,12.539,08_Agosto,12.3
