Mese,Giorni_Rilevati,Colazioni_Totali,Media_Colazioni_Giorno,Costo_Totale,Costo_Medio_Colazione,Costo_Medio_Giorno
Aprile,16,1279,79.9375,8883.02,6.945285379202502,555.18875
Maggio,28,3459,123.53571428571429,15004.04,4.337681410812373,535.8585714285715
Giugno,30,4896,163.2,18966.23,3.8738214869281045,632.2076666666667
Luglio,30,5199,173.3,22540.99,4.3356395460665516,751.3663333333334
Agosto,31,5159,166.41935483870967,21773.7,4.22052723396007,702.3774193548387
Settembre,28,4337,154.89285714285714,19710.02,4.544620705556837,703.9292857142857
Ottobre,26,3202,123.15384615384616,13749.44,4.294016239850094,528.8246153846154
