Mese,Colazioni_Servite,Costo_Totale,Giorni_Mese,Costo_Medio_per_Colazione,Consumo_Giornaliero,Colazioni_Giornaliere
Aprile,1279,8883.02,30,6.945285379202502,296.10066666666665,42.63333333333333
Maggio,3459,15004.04,31,4.337681410812373,484.0012903225807,111.58064516129032
Giugno,4896,18966.23,30,3.8738214869281045,632.2076666666667,163.2
Luglio,5199,22540.99,31,4.3356395460665516,727.1287096774194,167.70967741935485
Agosto,5159,21773.7,31,4.22052723396007,702.3774193548387,166.41935483870967
Settembre,4337,19710.02,30,4.544620705556837,657.0006666666667,144.56666666666666
Ottobre,3202,13749.44,31,4.294016239850094,443.5303225806452,103.29032258064517
