Mese,Numero Colazioni,Giorni di Servizio,Costo Totale,Costo Medio per Colazione,Colazioni per Giorno,Costo Giornaliero
05_Maggio,3459,28,15709.038506999997,4.541497111014744,123.53571428571429,561.0370895357142
06_Giugno,4896,30,19253.298111,3.9324546795343136,163.2,641.7766037
07_Luglio,5199,30,23013.794453,4.426580968070782,173.3,767.1264817666666
09_Settembre,4337,28,19878.296454,4.583420902467143,154.89285714285714,709.9391590714285
10_Ottobre,3202,26,13791.298184000001,4.307088752029982,123.15384615384616,530.4345455384616
11_Novembre,0,0,1350.0101344,0.0,0.0,0.0
08_Agosto,5159,31,22109.954640000004,4.285705493312658,166.41935483870967,713.2243432258066
04_Aprile,1279,16,9740.073620599998,7.61538203330727,79.9375,608.7546012874999
