Mese,Classe,Costo Totale,Quantità Totale,Percentuale sul Totale
05_Maggio,BEVERAGE,1937.5566000000001,528.5,12.334024129717543
05_Maggio,FOOD,11728.997307,13708.76,74.6640050679965
05_Maggio,PULIZIA,196.57999999999998,8.0,1.251381489149723
05_Maggio,VARIE,1845.9046,970.3,11.75058931313625
06_Giugno,BEVERAGE,2356.0448,339.5,12.2370971789707
06_Giugno,FOOD,14956.801611,15151.264,77.68436101061937
06_Giugno,PULIZIA,44.516200000000005,7.0,0.23121337312367551
06_Giugno,VARIE,1895.9354999999998,1255.1,9.847328437286253
07_Luglio,BEVERAGE,3163.7338,447.0,13.747119391637682
07_Luglio,FOOD,17420.001253,18611.985,75.69373789522652
07_Luglio,VARIE,2430.0594,1812.25,10.559142713135799
09_Settembre,BEVERAGE,2854.2073,407.15999999999997,14.35840997041607
09_Settembre,FOOD,15555.449154,16575.828,78.25343177669464
09_Settembre,VARIE,1468.64,877.5,7.388158252889291
10_Ottobre,BEVERAGE,2464.8828,412.0,17.872739513816313
10_Ottobre,FOOD,10515.307984000001,12065.887999999999,76.24596208208561
10_Ottobre,VARIE,811.1074,697.5,5.881298404098083
11_Novembre,BEVERAGE,169.22,364.0,12.53472071713064
11_Novembre,FOOD,1152.3009344,684.2280000000001,85.35498401366668
11_Novembre,VARIE,28.489199999999997,151.0,2.110295269202684
08_Agosto,BEVERAGE,2515.2352,393.34000000000003,11.376030575158156
08_Agosto,FOOD,17512.80444,18259.69,79.20778095273377
08_Agosto,VARIE,2081.915,1998.5,9.416188472108052
04_Aprile,BEVERAGE,1050.1418,319.5,10.781661832401122
04_Aprile,FOOD,7576.4673206,8721.434000000001,77.78655085908152
04_Aprile,PULIZIA,76.41,18.0,0.7844909902774746
04_Aprile,VARIE,1037.0545,580.0,10.647296318239906
