data,BREAKFAST PREVISTI (HOTEL),BREAKFAST SERVITI (HOTEL) ,BREAKFAST PREVISTI (RESIDENCE) ,BREAKFAST SERVITI (RESIDENCE) ,BREAKFAST PREVISTI (CVM) ,BREAKFAST SERVITI (CVM) ,BREAKFAST PRENOTATI (ESTERNI) ,BREAKFAST COMPLEMENTARY ,CONSUMO REALE COLAZIONI 
25/07/2024 12.06.36,149,140,8,15,5,9,2,,166
26/07/2024 11.58.23,158,140,8,20,5,6,2,2,170
27/07/2024 12.25.11,165,140,3,25,5,12,3,0,180
28/07/2024 11.50.03,182,175,13,15,5,10,0,3,203
29/07/2024 12.06.28,126,110,14,35,5,5,0,3,153
30/07/2024 11.23.46,149,145,13,21,0,0,0,,166
31/07/2024 12.04.00,157,157,9,9,0,3,2,2,173
01/08/2024 11.06.53,136,136,29,41,0,0,0,0,177
02/08/2024 11.59.29,153,140,15,25,0,0,0,0,165
03/08/2024 12.40.30,124,115,15,30,0,0,4,2,151
04/08/2024 12.08.30,159,145,15,24,0,0,0,0,169
05/08/2024 13.19.59,127,120,2,10,0,0,2,0,132
06/08/2024 11.53.27,136,125,0,24,0,0,0,5,154
07/08/2024 12.16.05,153,150,0,13,0,0,0,0,163
08/08/2024 11.25.40,165,160,0,7,0,0,0,,167
09/08/2024 12.02.13,173,165,0,15,0,0,0,1,181
10/08/2024 12.14.10,155,140,0,10,0,0,0,0,150
11/08/2024 11.45.20,167,135,0,20,0,0,2,3,160
12/08/2024 12.42.47,163,145,7,15,0,0,2,4,166
13/08/2024 12.20.08,186,180,8,8,0,3,2,0,193
14/08/2024 12.16.55,185,175,11,30,0,0,0,0,205
15/08/2024 13.02.24,195,180,8,20,0,0,0,6,206
16/08/2024 15.12.12,197,180,5,15,0,0,0,4,199
17/08/2024 19.20.01,193,180,10,15,0,0,0,0,195
18/08/2024 12.24.37,184,170,10,20,0,0,0,0,190
19/08/2024 14.43.19,166,150,9,10,0,0,0,0,160
20/08/2024 12.48.37,172,150,18,20,0,0,0,0,170
21/08/2024 12.29.17,175,170,13,13,0,0,2,0,185
22/08/2024 12.13.08,182,180,19,26,0,0,4,0,210
23/08/2024 12.20.02,185,170,19,25,0,0,0,0,195
24/08/2024 12.02.44,169,150,12,15,0,0,0,0,165
25/08/2024 12.03.10,179,150,6,10,0,0,6,0,166
26/08/2024 12.50.08,154,130,6,6,0,0,0,5,141
27/08/2024 12.32.23,129,100,2,2,0,0,4,0,106
28/08/2024 11.58.00,125,123,4,7,0,0,0,,130
29/08/2024 12.04.53,125,123,2,16,0,0,1,3,143
30/08/2024 10.31.55,134,100,4,10,0,0,0,0,110
31/08/2024 10.51.13,156,140,4,15,0,0,0,0,155
01/09/2024 12.13.41,156,130,7,20,0,0,0,0,150
02/09/2024 12.43.15,126,110,8,15,0,0,0,0,125
03/09/2024 19.04.39,149,140,12,25,0,0,0,0,165
04/09/2024 19.36.17,162,160,6,16,0,0,0,0,176
05/09/2024 11.58.57,167,162,6,15,0,0,0,0,177
06/09/2024 11.51.29,168,162,1,3,0,0,2,0,167
07/09/2024 11.48.59,153,135,9,30,0,0,4,4,173
08/09/2024 11.36.30,165,150,12,20,0,2,3,0,175
09/09/2024 13.22.52,130,110,7,20,2,2,2,0,134
10/09/2024 11.47.39,124,115,7,20,8,8,0,0,143
11/09/2024 12.02.12,165,160,5,13,0,0,0,0,173
12/09/2024 11.52.03,155,152,2,6,0,0,0,0,158
13/09/2024 11.47.15,150,130,3,22,0,4,6,0,162
14/09/2024 11.21.36,155,140,3,15,0,0,0,0,155
15/09/2024 11.33.13,157,130,2,12,0,0,0,0,142
16/09/2024 12.21.19,154,130,0,0,0,0,0,0,130
17/09/2024 12.33.02,158,145,0,6,0,0,0,0,151
18/09/2024 11.58.25,158,150,0,3,0,0,0,0,153
19/09/2024 11.50.28,156,150,0,10,4,4,0,0,164
20/09/2024 11.21.25,162,140,4,10,0,4,0,0,154
21/09/2024 11.44.02,169,150,6,20,0,5,0,0,175
22/09/2024 11.50.14,159,140,17,25,0,0,0,1,166
23/09/2024 12.13.07,139,120,4,10,0,0,0,0,130
24/09/2024 12.50.42,140,130,10,20,0,2,0,0,152
26/09/2024 12.01.53,149,140,4,16,0,2,0,0,158
27/09/2024 11.59.37,156,140,6,10,0,0,0,0,150
28/09/2024 11.53.10,166,150,0,5,0,0,0,0,155
30/09/2024 12.14.38,131,120,0,4,0,0,0,0,124
01/10/2024 12.03.49,146,130,5,5,0,0,0,0,135
02/10/2024 12.16.20,167,150,4,4,0,0,0,0,154
03/10/2024 12.12.44,152,148,12,12,0,0,0,0,160
04/10/2024 18.57.39,158,145,2,5,0,0,0,0,150
05/10/2024 11.53.23,153,135,4,4,0,0,0,0,139
06/10/2024 11.46.17,160,140,6,10,0,0,0,0,150
07/10/2024 11.34.34,137,120,4,4,0,0,0,0,124
08/10/2024 11.54.15,145,125,4,4,0,0,0,0,129
09/10/2024 11.59.32,142,130,12,10,0,0,0,0,140
10/10/2024 12.06.41,145,130,13,13,0,0,0,0,143
11/10/2024 11.38.45,152,140,24,24,0,0,0,0,164
12/10/2024 11.39.56,108,100,11,15,0,0,0,0,115
13/10/2024 11.49.34,124,115,18,25,0,0,0,0,140
14/10/2024 12.06.49,108,98,13,25,0,4,0,0,127
15/10/2024 12.02.16,101,95,7,15,0,0,0,0,110
16/10/2024 11.45.28,135,125,5,10,0,0,0,2,137
17/10/2024 11.52.03,146,140,2,5,2,2,0,0,147
18/10/2024 12.15.46,142,138,2,2,0,0,0,0,140
19/10/2024 11.46.58,96,90,2,2,0,0,0,0,92
20/10/2024 11.34.26,118,100,2,2,0,0,0,0,102
21/10/2024 11.57.36,109,100,2,2,0,0,0,0,102
22/10/2024 11.50.42,65,60,0,3,0,0,0,0,63
23/10/2024 11.58.57,84,80,0,3,0,0,0,0,83
24/10/2024 11.39.10,78,73,0,3,0,0,0,0,76
25/10/2024 11.43.20,83,80,0,3,0,0,0,0,83
26/10/2024 11.40.30,94,94,0,3,0,0,0,0,97
